date,real_wage_northeast,real_wage_midwest,real_wage_south,real_wage_west,real_wage_yoy_northeast,real_wage_yoy_midwest,real_wage_yoy_south,real_wage_yoy_west,nominal_wage
2021-01-01,29.93,29.93,29.93,29.93,,,,,29.93
2021-02-01,29.94701997629689,29.799173064116133,29.883898689692085,29.890901311441187,,,,,30.05
2021-03-01,29.799013137316233,29.553785595251128,29.64438035208231,29.68123397901199,,,,,30.03
2021-04-01,29.781552798977703,29.505567413402634,29.6292117068022,29.58869422596893,,,,,30.22
2021-05-01,29.81356216001714,29.44811589345845,29.57246136748117,29.595862280218093,,,,,30.41
2021-06-01,29.64040007648317,29.30926123333386,29.47904993900694,29.493013890624415,,,,,30.54
2021-07-01,29.739495853210247,29.26117419461385,29.49958650764462,29.431772016342098,,,,,30.66
2021-08-01,29.825633571093874,29.348464889709494,29.51071808948258,29.478385391896143,,,,,30.78
2021-09-01,29.90918244474647,29.446158858704806,29.59974755154063,29.619532569663164,,,,,30.98
2021-10-01,29.92415565461336,29.374271256791523,29.475148528010987,29.51709059568402,,,,,31.14
2021-11-01,29.873774387862095,29.3508018400347,29.409088341273318,29.45175846682035,,,,,31.23
2021-12-01,30.001640173781464,29.401898829921898,29.397788610817866,29.470367529730048,,,,,31.39
2022-01-01,29.902802889325027,29.426555096434594,29.32961121992014,29.413347395558677,-0.09086906339783596,-1.6820745190959108,-2.005976545539123,-1.726203155500572,31.6
2022-02-01,29.817147910977287,29.213634769377084,29.018689113387904,29.23947308547495,-0.4336727508192695,-1.964948132886779,-2.8952366131619223,-2.1793529046810423,31.64
2022-03-01,29.577935997601166,28.97231208122971,28.74941762670983,28.985096169171033,-0.7418941650729427,-1.9675094148170702,-3.0189962304596363,-2.3453802841660987,31.8
2022-04-01,29.486556462540076,28.927302749830332,28.741433036231047,28.952356163255214,-0.9905337657469371,-1.9598493242655946,-2.996295275609162,-2.150612182660039,31.96
2022-05-01,29.43082455639083,28.646900979141314,28.491067051638908,28.84605724629483,-1.2837701230468679,-2.720768001646978,-3.6567612766632895,-2.5334792641754977,32.1
2022-06-01,29.14842437472227,28.280918827936947,28.254511943359343,28.533549045075645,-1.6598146465345298,-3.5085920358421174,-4.153926256718599,-3.2531936176715237,32.19
2022-07-01,29.347362111558972,28.44369352524243,28.359569778458827,28.656561358276807,-1.31856216926739,-2.793738432827131,-3.8645176565114348,-2.6339245140756473,32.34
2022-08-01,29.382712607877487,28.53536806703198,28.432187914507235,28.772097853294497,-1.4850345497627648,-2.77049183230913,-3.6547066449044707,-2.3959505556766736,32.44
2022-09-01,29.426469813427406,28.59562351238922,28.50198788950367,28.776008453602515,-1.613927870515408,-2.888442429441529,-3.708679136960491,-2.8478643748909183,32.57
2022-10-01,29.47105459405538,28.698029743675043,28.496209695511194,28.694837046584425,-1.514164896706538,-2.3021558805825015,-3.3212346040240703,-2.7856863007352906,32.7
2022-11-01,29.51213200928935,28.936326228150474,28.57552907375585,28.929133341758963,-1.210568085161956,-1.4121440843189448,-2.834359426054134,-1.774512464680722,32.82
2022-12-01,29.61612629788988,29.170765402549645,28.75324601304697,29.13234212333215,-1.2849760001737653,-0.7861173480980477,-2.1924866740953286,-1.1470009868621123,32.94
2023-01-01,29.445475464923888,29.0440828869835,28.66031275391366,28.844899782181667,-1.5293797912315443,-1.2997519016333503,-2.2819888780247544,-1.9326178885128997,33.02
2023-02-01,29.387552792190885,29.037624598505904,28.578193523005066,28.84987993389516,-1.4407652940818139,-0.6024932270861427,-1.5179720512585537,-1.3324219299058582,33.15
2023-03-01,29.52111866863304,28.955476940067847,28.530258287648557,28.869349509613517,-0.1920936233438808,-0.058107689557751474,-0.7623087949359397,-0.3993316388600676,33.27
2023-04-01,29.638691069381327,28.89321852955734,28.496941427991942,28.854081063459866,0.5159456548767372,-0.11782716338180066,-0.8506590744132403,-0.339437312946822,33.43
2023-05-01,29.633370194455626,28.84965228498439,28.435969129303324,28.801136500300657,0.6882091858374739,0.7077599981607285,-0.19338665777495212,-0.15572577427350742,33.5
2023-06-01,29.700461929062246,28.919594274861804,28.52123118224535,28.87125793439105,1.893884716522476,2.2583263677202314,0.9439881298274999,1.1835502438968026,33.69
2023-07-01,29.75656913620677,28.847788120209408,28.62747387414728,28.999247406217883,1.3943570910811998,1.4206825657447242,0.9446691109254557,1.1958379920628426,33.85
2023-08-01,29.624289869775282,28.974149829515035,28.49091041149524,28.88785531595233,0.8221748111610028,1.5376768978494493,0.20653527320717568,0.40232541696496593,33.89
2023-09-01,29.646476072715462,29.046663007143106,28.491545939340075,28.897969524443436,0.7476474775362396,1.5773025356781156,-0.03663586625634041,0.4238290068532935,34.01
2023-10-01,29.7270802465857,29.107471602505456,28.574464015907175,28.932172219484237,0.8687359718099863,1.4267246305319947,0.27461308444929333,0.8271006122617441,34.08
2023-11-01,29.830097564636578,29.264663796753712,28.64524069399393,29.12131890010193,1.077406251934443,1.1346898912268255,0.24395565890713566,0.6643322358556469,34.17
2023-12-01,29.903437043145782,29.388488013644213,28.736160358516898,29.242239731828644,0.9701158833738788,0.7463726374335788,-0.05942165459272841,0.3772357472366705,34.29
2024-01-01,29.819247566723377,29.451760539581514,28.801241013173076,29.239910292350814,1.2693702373552496,1.4036513192183575,0.49171919535375697,1.3694293034540506,34.47
2024-02-01,29.748196312428046,29.30466828954364,28.589213275531236,29.106181786014417,1.2271982045847452,0.919647163740378,0.03856000386204261,0.8883983320087774,34.52
2024-03-01,29.718035778472093,29.191227473412383,28.589653968325486,29.03055151055233,0.6670381026186556,0.8141828705929832,0.20818486842315576,0.5583845970797974,34.65
2024-04-01,29.694968389485602,29.11402646789861,28.59960179845379,28.933495026649698,0.1898778862148065,0.7642206357709291,0.3602504876576207,0.27522610411738757,34.76
2024-05-01,29.674176613596067,29.085505402639157,28.631125624955985,28.97566093740016,0.13770428025117187,0.8175249924156747,0.6863015456418875,0.6059637163890352,34.89
2024-06-01,29.650406419221262,29.156600638889937,28.716914416432044,29.112014307316503,-0.16853444892721559,0.8195355777662172,0.6860967289115782,0.833896373592613,35.01
2024-07-01,29.692485613626577,28.981606799437696,28.7597017130395,29.139208124422648,-0.21535924483383484,0.46387847370017443,0.461891396612657,0.48263569134816553,35.08
2024-08-01,29.742630738329748,29.109951678976778,28.84680463486242,29.251335511697814,0.39947242305107267,0.4687000317897372,1.2491500560248392,1.2582456944969733,35.22
2024-09-01,29.73271275778206,29.219880021665595,28.971375701472496,29.302402440368148,0.29088342525123156,0.5963404969441477,1.684112765077761,1.3995201828371329,35.34
2024-10-01,29.810135177049116,29.412882231722694,29.006957040572797,29.394997144488865,0.2793914833696176,1.049251660838002,1.5135647843643074,1.5996895134370304,35.46
2024-11-01,29.90846529320069,29.62203923235676,29.1393308217866,29.548399905953655,0.26271361799705684,1.2211841492014264,1.7248594035946363,1.466557910089139,35.6
2024-12-01,29.96676194772775,29.666009273909083,29.242406257490295,29.631271834061135,0.2117646359199421,0.944319626569512,1.7617033474806476,1.3303772412790016,35.69
2025-01-01,29.85012912002674,29.544923734253533,29.17899060980683,29.55850286258166,0.10356248337339835,0.3163247050946616,1.3115740271781418,1.0895812163766783,35.84
2025-02-01,29.751371207111788,29.544675077475404,29.13338154017377,29.462526324842678,0.010672561961055926,0.8190053050946888,1.9034041244789135,1.2242916004856497,35.94
2025-03-01,29.94012782816853,29.616215587882476,29.25943644655708,29.49104688026596,0.7473308510427268,1.4558761355861982,2.3427442632696582,1.5862439593896216,36.11
2025-04-01,29.812506142142936,29.53768116332664,29.172940216552366,29.40029649534306,0.3958170660957938,1.45515666098317,2.00470769536929,1.6133601152000576,36.12
2025-05-01,29.90760555727806,29.5951350406668,29.294230382816565,29.43943925923193,0.7866400025908105,1.7521773507892968,2.3160275517864815,1.600578923233975,36.28
2025-06-01,29.798015323645973,29.500074409089542,29.268398096051442,29.451201409523918,0.4978309650724544,1.1780309181224302,1.920414121176739,1.1651103857906797,36.36
2025-07-01,29.90616058394161,29.57972999525487,29.327845846454963,29.483008993166774,0.7196264169173183,2.06380274205078,1.9754868777302592,1.1798565948536233,36.47
2025-08-01,29.96087181035165,29.595077132078483,29.450225506833586,29.544299906046593,0.7337651936103029,1.6665278542941087,2.0918118301460398,1.00154194406481,36.62
2025-09-01,29.937534954256314,29.556004154182556,29.415279067368203,29.50213121252245,0.6888782673240668,1.1503268742641515,1.532213625165002,0.6816122758560805,36.7
2025-10-01,,,,,0.42737067930267436,0.48659604771918996,1.4076692919711586,0.3644636109572552,36.85
2025-11-01,30.156437759469355,29.999071349115948,29.73884787209029,29.80319889126136,0.8291046158260817,1.2728094571806237,2.057415298828502,0.8623106026677485,37.0
2025-12-01,30.0879715625737,30.129622195471175,29.786299040607084,29.829307904947882,0.40448018727341495,1.5627748150467857,1.859945376340133,0.6683346971934734,37.02
2026-01-01,30.122595635795427,30.1129436674281,29.77521219093589,29.7910113493913,0.9127816991112647,1.9225635452090328,2.043324901474386,0.7866044091968449,37.15
2026-02-01,30.042330107179158,30.017139918105137,29.747333652957092,29.70745457028887,0.9779680339500496,1.599153957153976,2.1073836277354374,0.8313212612717225,37.27
2026-03-01,29.863825704416968,29.818671201470963,29.423165523111294,29.507681553827236,-0.254849024658399,0.6835971766471216,0.5595769995545563,0.05640584286077388,37.35
2026-04-01,29.590767094876778,29.586202541544477,29.25166011449276,29.342761984178356,-0.7437786216594078,0.16426942233394026,0.2698387524742163,-0.19569364266043277,37.41
