date,debt_delinquency_rate,debt_4q_avg,debt_yoy_chg
2021-01-01,1.88,,
2021-02-01,1.88,,
2021-03-01,1.88,,
2021-04-01,1.59,1.8074999999999999,
2021-05-01,1.59,1.7349999999999999,-0.2899999999999998
2021-06-01,1.59,1.6625,-0.2899999999999998
2021-07-01,1.53,1.5750000000000002,-0.34999999999999987
2021-08-01,1.53,1.56,-0.06000000000000005
2021-09-01,1.53,1.5450000000000002,-0.06000000000000005
2021-10-01,1.57,1.54,-0.020000000000000018
2021-11-01,1.57,1.5500000000000003,0.040000000000000036
2021-12-01,1.57,1.56,0.040000000000000036
2022-01-01,1.69,1.6,0.15999999999999992
2022-02-01,1.69,1.63,0.11999999999999988
2022-03-01,1.69,1.66,0.11999999999999988
2022-04-01,1.83,1.725,0.26
2022-05-01,1.83,1.76,0.14000000000000012
2022-06-01,1.83,1.7950000000000002,0.14000000000000012
2022-07-01,2.05,1.885,0.3599999999999999
2022-08-01,2.05,1.94,0.21999999999999975
2022-09-01,2.05,1.9949999999999999,0.21999999999999975
2022-10-01,2.26,2.1025,0.4299999999999997
2022-11-01,2.26,2.155,0.20999999999999996
2022-12-01,2.26,2.2074999999999996,0.20999999999999996
2023-01-01,2.47,2.3125,0.4200000000000004
2023-02-01,2.47,2.365,0.2100000000000004
2023-03-01,2.47,2.4175,0.2100000000000004
2023-04-01,2.75,2.54,0.4900000000000002
2023-05-01,2.75,2.61,0.2799999999999998
2023-06-01,2.75,2.68,0.2799999999999998
2023-07-01,2.94,2.7975,0.46999999999999975
2023-08-01,2.94,2.8449999999999998,0.18999999999999995
2023-09-01,2.94,2.8925,0.18999999999999995
2023-10-01,3.1,2.98,0.3500000000000001
2023-11-01,3.1,3.02,0.16000000000000014
2023-12-01,3.1,3.06,0.16000000000000014
2024-01-01,3.17,3.1175,0.22999999999999998
2024-02-01,3.17,3.135,0.06999999999999984
2024-03-01,3.17,3.1525,0.06999999999999984
2024-04-01,3.22,3.1825,0.1200000000000001
2024-05-01,3.22,3.1950000000000003,0.050000000000000266
2024-06-01,3.22,3.2075000000000005,0.050000000000000266
2024-07-01,3.2,3.2150000000000003,0.03000000000000025
2024-08-01,3.2,3.21,-0.020000000000000018
2024-09-01,3.2,3.205,-0.020000000000000018
2024-10-01,3.08,3.1700000000000004,-0.14000000000000012
2024-11-01,3.08,3.14,-0.1200000000000001
2024-12-01,3.08,3.11,-0.1200000000000001
2025-01-01,3.06,3.075,-0.14000000000000012
2025-02-01,3.06,3.0700000000000003,-0.020000000000000018
2025-03-01,3.06,3.065,-0.020000000000000018
2025-04-01,3.04,3.055,-0.040000000000000036
2025-05-01,3.04,3.05,-0.020000000000000018
2025-06-01,3.04,3.0450000000000004,-0.020000000000000018
2025-07-01,2.98,3.0250000000000004,-0.08000000000000007
2025-08-01,2.98,3.01,-0.06000000000000005
2025-09-01,2.98,2.995,-0.06000000000000005
2025-10-01,2.94,2.9699999999999998,-0.10000000000000009
2025-11-01,2.94,2.96,-0.040000000000000036
2025-12-01,2.94,2.95,-0.040000000000000036
2026-01-01,2.92,2.935,-0.06000000000000005
