date,cpi_yoy_northeast,cpi_index_northeast,cpi_yoy_midwest,cpi_index_midwest,cpi_yoy_south,cpi_index_south,cpi_yoy_west,cpi_index_west,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national,real_wage_northeast,real_wage_midwest,real_wage_south,real_wage_west,real_wage_yoy_northeast,real_wage_yoy_midwest,real_wage_yoy_south,real_wage_yoy_west,nominal_wage,debt_delinquency_rate,debt_4q_avg,debt_yoy_chg,sentiment,sentiment_12m_avg,sentiment_yoy_chg
2021-03-31,,100.37300779925398,,100.81769090899104,,100.61888026877087,,100.56910114193256,,101.08673932389252,,100.59076763533544,,101.57993931020091,,101.06251676060879,,101.18309365427791,29.892011037871043,29.76098621978909,29.819426347258133,29.83404509681772,,,,,30.003333333333334,1.88,,,80.23333333333333,,
2021-06-30,,102.16927199002764,,103.29562121986187,,102.80836424484255,,102.81146688675331,,104.08794970446529,,103.15627266031503,,107.63015017065732,,105.22974428421595,,105.76745984715069,29.74517167849267,29.420981513398317,29.5602410044301,29.559190132270476,,,,,30.39,1.59,1.735,-0.2899999999999998,85.56666666666666,,
2021-09-30,,103.29175800820519,,104.95572328702406,,104.29926761500967,,104.39392243811228,,107.17077704249903,,106.0790233549207,,115.42590677774403,,110.88302120435877,,111.19856220387881,29.824770623016864,29.35193264767605,29.536684049555944,29.509896659300466,,,,,30.80666666666667,1.53,1.5600000000000003,-0.15666666666666665,74.76666666666667,,
2021-12-31,,104.41018440244723,,106.39183242967088,,106.20557486305972,,106.01659509188153,,110.39972587619552,,109.62443011451542,,122.07273313761249,,116.3616102131683,,115.80226408375275,29.93319007208564,29.375657308916043,29.427341826700722,29.47973886407814,,,,,31.253333333333334,1.57,1.55,0.020000000000000018,69.89999999999999,77.61666666666666,
2022-03-31,6.037033995165486,106.43390693431526,7.602320867881521,108.48385218389667,8.454003286989893,109.12835394750698,7.836188108123587,108.45188635696002,13.688737213650159,114.9274578719668,12.81170903621404,113.47910761749284,29.081291522816482,131.1380864691748,21.727263565122552,123.03162575104983,20.070271404316824,121.49613703576962,29.76596226596783,29.20416731568046,29.03257265333929,29.212638883401553,-0.42214532643001607,-1.8715106889332533,-2.640069796386894,-2.083645448115904,31.680000000000003,1.6900000000000002,1.63,0.13333333333333322,63.13333333333333,75.14722222222223,-17.1
2022-06-30,6.975903887222379,109.29749401802472,8.538985421782085,112.12006350357343,9.5197339792687,112.59798395851941,8.443461033353842,111.49439758277731,14.725197015188973,119.41534042764293,12.928513871360138,116.49304663163689,29.787579331915747,139.66507335823175,21.304604444252764,127.62258113159567,19.39904535532487,126.26787855519295,29.35526846455106,28.6183741856362,28.495670677076433,28.777320818208562,-1.3113728451094449,-2.72973645391823,-3.6023276029970166,-2.6457616881690202,32.083333333333336,1.83,1.76,0.18000000000000008,57.86666666666667,69.06944444444444,-27.7
2022-09-30,6.909204949758603,110.42833808548134,8.388845983794376,113.76011470195618,9.430718292885487,114.13478328139159,8.175753068154087,112.9288075687421,12.57844867764173,120.64317561591857,11.234874225047188,117.98780963241602,20.272442977800132,138.76184559305455,12.149570069335924,124.31741407533896,13.056679203249303,125.69156379802969,29.385514844287954,28.524895034887876,28.431248527489913,28.734889221724604,-1.4725081965151876,-2.817557564859263,-3.7426344794587987,-2.6259131482144134,32.449999999999996,2.05,1.9400000000000002,0.26666666666666644,56.1,62.875,-18.666666666666664
2022-12-31,6.435668389220827,111.1293396185864,6.616663321238055,113.42927536709568,8.02135806532082,114.72219946927116,7.054661503964684,113.4925464303533,8.918825506412357,120.2345527253068,7.573761783179922,117.91256675616985,10.95882232380574,135.40542967939632,4.7963185858229975,121.91852735929272,7.524561761490538,124.49692437381587,29.533104300411537,28.935040458125055,28.608328260771334,28.91877083722518,-1.336569660680753,-1.5001391043331644,-2.7826935680578444,-1.9023999174260418,32.82,2.26,2.155,0.2833333333333332,58.800000000000004,59.87222222222223,-11.100000000000001
2023-03-31,5.748209981765261,112.54710357772268,5.320232748619976,114.25067431346373,6.249192152062855,115.94071751106118,5.927447549571441,114.87426618359517,5.106937137999353,120.78382437023924,4.3159823204076995,118.37346435898466,2.0123578785983067,133.69961811037672,-1.0764742101838347,121.6679495298362,2.3293924409521902,124.30426303211392,29.451382308582605,29.012394808519087,28.589588188189094,28.854709741896784,-1.054079569552413,-0.6534509394257482,-1.5207565747397493,-1.2214571524262752,33.14666666666667,2.47,2.365,0.2800000000000004,64.60000000000001,59.083333333333336,1.466666666666671
2023-06-30,3.4750618495802783,113.09085438367744,3.5664316026921514,116.10551701027812,4.58053207838481,117.7473018250467,4.305173280800208,116.28804304745385,3.292558934123102,123.34666422902986,4.202324007361965,121.38828371484642,-3.6961416360997887,134.4954917598726,-2.918890934990681,123.89709401555798,-0.15688340993934938,126.06965298701589,29.6575077309664,28.887488363134512,28.484713913180205,28.842158499383856,1.032679852412229,0.9494197341663865,-0.033352534120230835,0.2294623855588244,33.54,2.75,2.61,0.3499999999999999,62.300000000000004,59.644444444444446,4.4333333333333345
