date,cpi_yoy_northeast,cpi_index_northeast,cpi_yoy_midwest,cpi_index_midwest,cpi_yoy_south,cpi_index_south,cpi_yoy_west,cpi_index_west,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national,real_wage_northeast,real_wage_midwest,real_wage_south,real_wage_west,real_wage_yoy_northeast,real_wage_yoy_midwest,real_wage_yoy_south,real_wage_yoy_west,nominal_wage,debt_delinquency_rate,debt_4q_avg,debt_yoy_chg,sentiment,sentiment_12m_avg,sentiment_yoy_chg
2021-11-01,,104.53985356697662,,106.40254453764892,,106.1916630586987,,106.03781107054431,,110.28584167798489,,109.5225345539121,,121.91099446085988,,116.45431797395919,,115.73076377354712,29.873774387862095,29.3508018400347,29.409088341273318,29.45175846682035,,,,,31.23,1.57,1.5500000000000003,0.040000000000000036,67.4,,
2021-12-01,,104.62761308440673,,106.76181215906655,,106.7767389430409,,106.513771734721,,111.81104734020299,,111.1327854424935,,124.57945244096624,,118.08613816031344,,117.48850291704574,30.001640173781464,29.401898829921898,29.397788610817866,29.470367529730048,,,,,31.39,1.57,1.56,0.040000000000000036,70.6,77.61666666666666,
2022-01-01,5.675712464000671,105.67571246400067,7.385998450864362,107.38599845086436,7.740944000436856,107.74094400043685,7.434218809014248,107.43421880901425,13.211781859326678,113.21178185932668,12.31370027496219,112.31370027496219,27.55200572416816,127.55200572416815,20.048852875809885,120.04885287580989,19.39230300551693,119.39230300551694,29.902802889325027,29.426555096434594,29.32961121992014,29.413347395558677,-0.09086906339783596,-1.6820745190959108,-2.005976545539123,-1.726203155500572,31.6,1.69,1.6,0.15999999999999992,67.2,76.63333333333334,-11.799999999999997
2022-02-01,5.749789385004211,106.11343544481538,7.401566438823504,108.30559172036453,8.430500927068053,109.03318160365399,7.636970814345823,108.20988431463063,13.6790113295858,115.10010148026673,13.243855268713943,113.75808586503841,28.95986688964407,130.85729761191396,22.068076727375296,123.25200976671167,20.10407124051927,121.46136062029997,29.817147910977287,29.213634769377084,29.018689113387904,29.23947308547495,-0.4336727508192695,-1.964948132886779,-2.8952366131619223,-2.1793529046810423,31.64,1.69,1.63,0.11999999999999988,62.8,75.46666666666667,-14.0
2022-03-01,6.685600136491576,107.51257289412976,8.0193977139567,109.75996638046111,9.190564933464774,110.61093623843013,8.437374701010691,109.71155594723518,14.175418452038002,116.47049027630696,12.877571564965983,114.36553671247793,30.732001954637212,135.00495607144228,23.064861092182465,125.79401461062795,20.714439966914266,123.63474748149198,29.577935997601166,28.97231208122971,28.74941762670983,28.985096169171033,-0.7418941650729427,-1.9675094148170702,-3.0189962304596363,-2.3453802841660987,31.8,1.69,1.66,0.11999999999999988,59.4,73.34166666666665,-25.500000000000007
2022-04-01,6.815823102067897,108.38837705787112,7.871903070480668,110.48385767728537,9.024471392678102,111.19835242630968,8.082205383343211,110.38825240952903,14.700862704715089,118.14230223201724,12.925652291009172,115.42853571786492,30.91984611666301,137.80012794387738,23.122902511958742,127.27188318494133,20.59316077990403,125.31319639771978,29.486556462540076,28.927302749830332,28.741433036231047,28.952356163255214,-0.9905337657469371,-1.9598493242655946,-2.996295275609162,-2.150612182660039,31.96,1.83,1.725,0.26,65.2,71.41666666666667,-23.099999999999994
2022-05-01,6.930119364932197,109.06931927270642,8.509679066724129,112.05400550437548,9.563871672520662,112.66689289600859,8.30117012804019,111.28037265516808,14.70298454198511,119.50160890551362,12.870714452638744,116.42767467583263,30.51107323838387,140.18997417515078,21.77798418082424,128.08552999896185,19.75344715935117,126.56306076969945,29.43082455639083,28.646900979141314,28.491067051638908,28.84605724629483,-1.2837701230468679,-2.720768001646978,-3.6567612766632895,-2.5334792641754977,32.1,1.83,1.76,0.14000000000000012,58.4,69.375,-24.500000000000007
2022-06-01,7.1817691946670426,110.4347857234966,9.23537412814146,113.82232732905946,9.970858872607335,113.92870655323995,8.947007588678124,112.8145676836348,14.771743798866721,120.6021101453979,12.989174870432496,117.62292950121306,27.931818640700357,141.0051179556671,19.012926639975312,127.51033021088385,17.85052812671941,126.92737849815963,29.14842437472227,28.280918827936947,28.254511943359343,28.533549045075645,-1.6598146465345298,-3.5085920358421174,-4.153926256718599,-3.2531936176715237,32.19,1.83,1.7950000000000002,0.14000000000000012,50.0,66.41666666666667,-35.5
2022-07-01,6.888847967256506,110.19729772326737,8.51096457598528,113.6983140790059,9.719584781319668,114.03558041477979,8.332857751921075,112.85373564424302,13.758756430985342,120.80398096582654,12.53536060682363,118.17964003757011,24.481939878599015,140.70697490003843,15.458399991412875,126.04997642540401,15.544467720434207,126.59811539649289,29.347362111558972,28.44369352524243,28.359569778458827,28.656561358276807,-1.31856216926739,-2.793738432827131,-3.8645176565114348,-2.6339245140756473,32.34,2.05,1.885,0.3599999999999999,51.5,63.94166666666666,-29.700000000000003
2022-08-01,6.981829541313056,110.40505494820398,8.3962208560036,113.68348192949784,9.39103379156634,114.09603825616183,7.980266198664321,112.74812203617441,12.708692997574156,120.81300183294788,11.201231665472267,117.97262061387386,20.055729666269073,138.735975454227,12.002092244824425,124.13023405460193,12.927277500656341,125.65330974101308,29.382712607877487,28.53536806703198,28.432187914507235,28.772097853294497,-1.4850345497627648,-2.77049183230913,-3.6547066449044707,-2.3959505556766736,32.44,2.05,1.94,0.21999999999999975,58.2,62.93333333333334,-12.099999999999994
