date,sentiment,sentiment_12m_avg,sentiment_yoy_chg
2021-01-01,79.0,,
2021-02-01,76.8,,
2021-03-01,84.9,,
2021-04-01,88.3,,
2021-05-01,82.9,,
2021-06-01,85.5,,
2021-07-01,81.2,,
2021-08-01,70.3,,
2021-09-01,72.8,,
2021-10-01,71.7,,
2021-11-01,67.4,,
2021-12-01,70.6,77.61666666666666,
2022-01-01,67.2,76.63333333333334,-11.799999999999997
2022-02-01,62.8,75.46666666666667,-14.0
2022-03-01,59.4,73.34166666666665,-25.500000000000007
2022-04-01,65.2,71.41666666666667,-23.099999999999994
2022-05-01,58.4,69.375,-24.500000000000007
2022-06-01,50.0,66.41666666666667,-35.5
2022-07-01,51.5,63.94166666666666,-29.700000000000003
2022-08-01,58.2,62.93333333333334,-12.099999999999994
2022-09-01,58.6,61.75,-14.199999999999996
2022-10-01,59.9,60.76666666666667,-11.800000000000004
2022-11-01,56.7,59.87499999999999,-10.700000000000003
2022-12-01,59.8,58.975,-10.799999999999997
2023-01-01,64.9,58.78333333333333,-2.299999999999997
2023-02-01,66.9,59.125,4.1000000000000085
2023-03-01,62.0,59.34166666666667,2.6000000000000014
2023-04-01,63.7,59.21666666666667,-1.5
2023-05-01,59.0,59.26666666666667,0.6000000000000014
2023-06-01,64.2,60.45000000000001,14.200000000000003
2023-07-01,71.5,62.116666666666674,20.0
2023-08-01,69.4,63.050000000000004,11.200000000000003
2023-09-01,67.8,63.81666666666666,9.199999999999996
2023-10-01,63.8,64.14166666666667,3.8999999999999986
2023-11-01,61.3,64.525,4.599999999999994
2023-12-01,69.7,65.35000000000001,9.900000000000006
2024-01-01,79.0,66.52499999999999,14.099999999999994
2024-02-01,76.9,67.35833333333333,10.0
2024-03-01,79.4,68.80833333333334,17.400000000000006
2024-04-01,77.2,69.93333333333334,13.5
2024-05-01,69.1,70.77499999999999,10.099999999999994
2024-06-01,68.2,71.10833333333333,4.0
2024-07-01,66.4,70.68333333333332,-5.099999999999994
2024-08-01,67.9,70.55833333333334,-1.5
2024-09-01,70.1,70.75,2.299999999999997
2024-10-01,70.5,71.30833333333334,6.700000000000003
2024-11-01,71.8,72.18333333333334,10.5
2024-12-01,74.0,72.54166666666667,4.299999999999997
2025-01-01,71.7,71.93333333333332,-7.299999999999997
2025-02-01,64.7,70.91666666666667,-12.200000000000003
2025-03-01,57.0,69.05,-22.400000000000006
2025-04-01,52.2,66.96666666666665,-25.0
2025-05-01,52.2,65.55833333333334,-16.89999999999999
2025-06-01,60.7,64.93333333333334,-7.5
2025-07-01,61.7,64.54166666666667,-4.700000000000003
2025-08-01,58.2,63.73333333333333,-9.700000000000003
2025-09-01,55.1,62.48333333333334,-14.999999999999993
2025-10-01,53.6,61.07500000000001,-16.9
2025-11-01,51.0,59.34166666666667,-20.799999999999997
2025-12-01,52.9,57.583333333333336,-21.1
2026-01-01,56.4,56.30833333333334,-15.300000000000004
2026-02-01,56.6,55.63333333333333,-8.100000000000001
2026-03-01,53.3,55.324999999999996,-3.700000000000003
2026-04-01,49.8,55.12500000000001,-2.4000000000000057
