date,cpi_yoy_northeast,cpi_index_northeast,cpi_yoy_midwest,cpi_index_midwest,cpi_yoy_south,cpi_index_south,cpi_yoy_west,cpi_index_west
2021-01-01,,100.0,,100.0,,100.0,,100.0
2021-02-01,,100.34387402748126,,100.8417244845828,,100.5558220901251,,100.53226460755104
2021-03-01,,100.77514937028069,,101.61134824239029,,101.30081871618748,,101.17503881824668
2021-04-01,,101.47221068015415,,102.42134840719193,,101.99393861383821,,102.13360471134611
2021-05-01,,102.00055879529467,,103.26636892499876,,102.8321573308058,,102.75084980485964
2021-06-01,,103.0350464946341,,104.19914632739497,,103.59899678988364,,103.54994614405418
2021-07-01,,103.09522444944335,,104.7804841872806,,103.93366019572738,,104.17313637444569
2021-08-01,,103.19981946613557,,104.87771716738905,,104.30108785109428,,104.4154881307091
2021-09-01,,103.58023010903669,,105.20896850640253,,104.66305479820733,,104.5931428091821
2021-10-01,,104.06308655595834,,106.01114059229717,,105.6483225874396,,105.49820247037924
2021-11-01,,104.53985356697662,,106.40254453764892,,106.1916630586987,,106.03781107054431
2021-12-01,,104.62761308440673,,106.76181215906655,,106.7767389430409,,106.513771734721
2022-01-01,5.675712464000671,105.67571246400067,7.385998450864362,107.38599845086436,7.740944000436856,107.74094400043685,7.434218809014248,107.43421880901425
2022-02-01,5.749789385004211,106.11343544481538,7.401566438823504,108.30559172036453,8.430500927068053,109.03318160365399,7.636970814345823,108.20988431463063
2022-03-01,6.685600136491576,107.51257289412976,8.0193977139567,109.75996638046111,9.190564933464774,110.61093623843013,8.437374701010691,109.71155594723518
2022-04-01,6.815823102067897,108.38837705787112,7.871903070480668,110.48385767728537,9.024471392678102,111.19835242630968,8.082205383343211,110.38825240952903
2022-05-01,6.930119364932197,109.06931927270642,8.509679066724129,112.05400550437548,9.563871672520662,112.66689289600859,8.30117012804019,111.28037265516808
2022-06-01,7.1817691946670426,110.4347857234966,9.23537412814146,113.82232732905946,9.970858872607335,113.92870655323995,8.947007588678124,112.8145676836348
2022-07-01,6.888847967256506,110.19729772326737,8.51096457598528,113.6983140790059,9.719584781319668,114.03558041477979,8.332857751921075,112.85373564424302
2022-08-01,6.981829541313056,110.40505494820398,8.3962208560036,113.68348192949784,9.39103379156634,114.09603825616183,7.980266198664321,112.74812203617441
2022-09-01,6.856937340706248,110.68266158497269,8.259352519394248,113.89854809736481,9.181536305770454,114.27273117323315,8.214135253876865,113.1845650258089
2022-10-01,6.624098583549909,110.95632799850988,7.4840850971217066,113.94510456665404,8.617061338413468,114.7521033478042,8.018695926011876,113.95778253388728
2022-11-01,6.379049224591049,111.20850228532947,6.596555355925915,113.42144728818866,8.156811177920398,114.8535165010902,6.989805846055397,113.4496481877824
2022-12-01,6.303857359521525,111.22318857191982,5.769349510666544,112.92127424644438,7.290201679628594,114.56097855891909,6.155482739826779,113.07020856939025
2023-01-01,6.116596670700347,112.1394695743126,5.8697145137218465,113.68924998763987,6.9338903711855915,115.2115829423076,6.552931908881976,114.47431001440822
2023-02-01,6.304031542099464,112.80285988566187,5.407513076557291,114.162230755286,6.387370499685208,115.99753488027397,6.187302859506705,114.90515758109868
2023-03-01,4.824001732495975,112.69898127319358,4.68347065558079,114.90054219746536,5.426315585317765,116.61303471060197,5.042107880325641,115.2433309552786
2023-04-01,4.062592947552801,112.79175562019113,4.722891386549932,115.70189027505397,5.496918484532798,117.31083521532742,4.955758380246644,115.85882747912208
2023-05-01,3.648055279137963,113.04822833235424,3.6279336551789942,116.11925048204486,4.563582734410709,117.80853976760785,4.524141745546895,116.31485444906069
