variable,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
cpi_yoy_northeast,52.0,4.314799090329197,1.4390041844749424,2.6962753859976374,3.2272058886795127,3.728813288127575,5.694231694251556,7.1817691946670426,0.8992038277672937,-0.7763929159208574
cpi_index_northeast,63.0,113.60362354982158,7.202407747913899,100.0,108.72884816528878,114.39936669866604,119.06423280271659,126.42456979926354,-0.2636853497263355,-0.9657952198619744
cpi_yoy_midwest,52.0,4.178167977391866,2.1750410590304354,1.6998889383251115,2.7485436200463176,3.1964091154755625,5.497972185084604,9.23537412814146,1.0961381021858054,-0.2756004476654774
cpi_index_midwest,63.0,115.38696214819748,7.056532609446506,100.0,111.26893159083042,116.76197696072774,121.01591984047198,126.44407455627152,-0.5787709940592816,-0.7004646602233695
cpi_yoy_south,52.0,4.492132429152556,2.711773131612562,1.5603460268879044,2.2581087236653916,3.6853558101703765,6.524000467560303,9.970858872607335,0.828367863795731,-0.7480488256192155
cpi_index_south,63.0,116.46126169230816,7.72435415924411,100.0,111.93262266115914,118.95021784325428,122.20909051904033,127.89017735600305,-0.7001737197556044,-0.6941244147019736
cpi_yoy_west,52.0,4.417878647840865,2.112602914942013,2.262677895153553,2.854189144179692,3.429254867925491,6.163437769746761,8.947007588678124,0.9938110895911654,-0.6126575347104697
cpi_index_west,63.0,115.5151808043243,7.426993456626917,100.0,110.83431253234855,117.26187978233807,120.61860897785611,127.49311063550017,-0.5312043429390235,-0.7544177461914279
hpi_yoy_northeast,51.0,8.114268756593532,3.1932351264052556,3.2014932992189715,5.431054247366829,7.744539148047358,9.602586525809098,14.771743798866721,0.6081921384747937,-0.2694024610784971
hpi_index_northeast,63.0,127.31543649193884,14.640988561948708,100.0,118.82195556876543,126.99049055412388,140.08169766206058,149.83388875228889,-0.14749333771698053,-1.0996808794274098
hpi_yoy_midwest,51.0,7.336541647255199,2.700470733737137,3.7456519094877683,5.6389839412882115,6.59306350068849,8.528153137730243,13.243855268713943,1.0077687124113939,0.03413102380851596
hpi_index_midwest,63.0,124.08732020686475,12.988076390896168,100.0,115.92810519684878,123.78989500165365,135.00694884026657,146.4379126655207,-0.15083687364662104,-1.024755955814869
hpi_yoy_south,51.0,5.479088442652272,10.499654769878275,-4.2103823647338885,-1.2081655471131214,1.322202761633351,4.399499736865431,30.91984611666301,1.5578616609566107,1.0258631782557184
hpi_index_south,63.0,132.20470873058932,10.852245194797472,100.0,133.6487836645891,136.85835218233711,138.1843015777143,141.0051179556671,-1.8417820786507875,2.1817765947848695
hpi_yoy_west,51.0,5.762040663721482,7.104860229318725,-3.399787891249273,0.28113589316364207,4.060128416632147,8.386722029062376,23.122902511958742,1.1541628082534978,0.7124332941654217
hpi_index_west,63.0,126.40091765237958,10.566880765267593,100.0,121.77589659893441,128.08552999896185,135.34387414134665,138.18334081931215,-1.003979264275513,0.1397625859616043
hpi_yoy_national,51.0,5.901968447666096,6.001309015381663,-0.402271183534586,1.562202376110522,4.036512509091605,6.432826842531247,20.714439966914266,1.4744348483537981,1.1292077937640568
hpi_index_national,63.0,126.93389659203052,10.601672781041373,100.0,124.13490188877667,129.02982147179355,136.22624423059267,138.5484045971639,-1.0460967118561548,0.25620206658589284
real_wage_northeast,63.0,29.74612814143879,0.2033445353152096,29.14842437472227,29.636030631918477,29.75656913620677,29.904798813543696,30.156437759469355,-0.4977691841831089,0.21183942432631886
real_wage_midwest,63.0,29.284988938959344,0.39998547860696465,28.280918827936947,29.0096156989718,29.30926123333386,29.54935466475233,30.129622195471175,-0.13504964201952574,-0.023558296637844478
real_wage_south,63.0,29.02604466682983,0.4672713886320475,28.254511943359343,28.58943362192836,29.006957040572797,29.41922229523975,29.93,0.22782197447716016,-1.2993794696084684
real_wage_west,63.0,29.257621869518207,0.34743706274615616,28.533549045075645,28.93283362306697,29.302402440368148,29.50490638317484,29.93,-0.0691846972830951,-1.0220671150349272
real_wage_yoy_northeast,52.0,0.07648408133184804,0.92133739454655,-1.6598146465345298,-0.5107281043826878,0.2851374543104246,0.747410007666105,1.893884716522476,-0.510296146846727,-0.7269788757083755
real_wage_yoy_midwest,52.0,0.2270375783206262,1.5348367571537131,-3.5085920358421174,-0.648399257339119,0.7892017531819562,1.4079091308499492,2.2583263677202314,-0.9880812752581188,-0.23539959248197562
real_wage_yoy_south,52.0,-0.05426644447995779,2.0061237184282286,-4.153926256718599,-1.639973174828696,0.41107094213513884,1.6942994247069798,2.3427442632696582,-0.7283011135460701,-0.8075250547409976
real_wage_yoy_west,52.0,-0.0052737584283780985,1.4669285964997107,-3.2531936176715237,-1.1933562226230487,0.5821741567344163,1.1687969380564156,1.6133601152000576,-0.8765128056806147,-0.66248615396476
nominal_wage,64.0,33.843593750000004,2.2277031856005682,29.93,32.065,33.95,35.7275,37.41,-0.1080646580301886,-1.1465982824117917
debt_delinquency_rate,61.0,2.5240983606557377,0.6273074128080541,1.53,1.88,2.92,3.06,3.22,-0.44665852515838467,-1.5144724594590147
debt_4q_avg,58.0,2.530258620689655,0.627881373876644,1.54,1.8268749999999998,2.86875,3.0637499999999998,3.2150000000000003,-0.4639582477617198,-1.5114815916441375
debt_yoy_chg,57.0,0.07912280701754386,0.1851185016391468,-0.34999999999999987,-0.040000000000000036,0.050000000000000266,0.20999999999999996,0.4900000000000002,0.13757545636867916,-0.06997106530574726
sentiment,64.0,65.6390625,9.587137831780431,49.8,58.35,65.05000000000001,71.55,88.3,0.3448477934664287,-0.5233615162361955
sentiment_12m_avg,53.0,65.29685534591195,5.826176980797851,55.12500000000001,60.45000000000001,64.54166666666667,70.68333333333332,77.61666666666666,0.13017585515107685,-0.8822383009351187
sentiment_yoy_chg,52.0,-5.190384615384615,13.402037591869243,-35.5,-14.399999999999995,-4.899999999999999,4.3749999999999964,20.0,-0.13226989177328813,-0.7711639717626824
