date,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national
2021-01-01,,100.0,,100.0,,100.0,,100.0,,100.0
2021-02-01,,101.25009017413147,,100.4540913898633,,101.47133427478923,,100.96989570990009,,101.13009439710214
2021-03-01,,102.01012779754606,,101.318211516143,,103.26848365581347,,102.21765457192626,,102.4191865657316
2021-04-01,,103.0003606303832,,102.21639935309457,,105.25533907294951,,103.3697879016291,,103.91401600827956
2021-05-01,,104.18352179996855,,103.15135794120134,,107.41615304862906,,105.17954526884903,,105.68636124627544
2021-06-01,,105.07996668304412,,104.10106068664915,,110.2189583903934,,107.13989968216976,,107.70200228689708
2021-07-01,,106.19312724213485,,105.01556079823344,,113.0340473784895,,109.17350009594699,,109.5665745787185
2021-08-01,,107.19049136302925,,106.0893111047295,,115.55964537459835,,110.82849575994234,,111.26922788011318
2021-09-01,,108.12871252233296,,107.13219816179911,,117.68402758014425,,112.64706775718697,,112.75988415280477
2021-10-01,,109.10228861039866,,108.21797034714066,,119.72775251101133,,114.54437450523226,,114.18752556066536
2021-11-01,,110.28584167798489,,109.5225345539121,,121.91099446085988,,116.45431797395919,,115.73076377354712
2021-12-01,,111.81104734020299,,111.1327854424935,,124.57945244096624,,118.08613816031344,,117.48850291704574
2022-01-01,13.211781859326678,113.21178185932668,12.31370027496219,112.31370027496219,27.55200572416816,127.55200572416815,20.048852875809885,120.04885287580989,19.39230300551693,119.39230300551694
2022-02-01,13.6790113295858,115.10010148026673,13.243855268713943,113.75808586503841,28.95986688964407,130.85729761191396,22.068076727375296,123.25200976671167,20.10407124051927,121.46136062029997
2022-03-01,14.175418452038002,116.47049027630696,12.877571564965983,114.36553671247793,30.732001954637212,135.00495607144228,23.064861092182465,125.79401461062795,20.714439966914266,123.63474748149198
2022-04-01,14.700862704715089,118.14230223201724,12.925652291009172,115.42853571786492,30.91984611666301,137.80012794387738,23.122902511958742,127.27188318494133,20.59316077990403,125.31319639771978
