date,debt_stress
2021-01-01,1.88
2021-04-01,1.59
2021-07-01,1.53
2021-10-01,1.57
2022-01-01,1.69
2022-04-01,1.83
2022-07-01,2.05
2022-10-01,2.26
2023-01-01,2.47
2023-04-01,2.75
2023-07-01,2.94
2023-10-01,3.1
2024-01-01,3.17
2024-04-01,3.22
2024-07-01,3.2
2024-10-01,3.08
2025-01-01,3.06
2025-04-01,3.04
2025-07-01,2.98
2025-10-01,2.94
2026-01-01,2.92
